msa,zip,county_fips,state,res_ratio
pittsburgh,15470,42051,PA,0.0067215958369470944
pittsburgh,15410,42051,PA,0.006411844876719118
pittsburgh,15424,42051,PA,0.006133069012513939
pittsburgh,15433,42051,PA,0.006071118820468344
pittsburgh,15413,42051,PA,0.004367488539214472
pittsburgh,15475,42051,PA,0.0041661504150662864
pittsburgh,15490,42051,PA,0.003964812290918102
pittsburgh,15444,42051,PA,0.0031594597943253623
pittsburgh,15463,42051,PA,0.002555445421880808
pittsburgh,15440,42051,PA,0.0022766695576756286
pittsburgh,15462,42051,PA,0.002152769173584438
pittsburgh,15450,42051,PA,0.002168256721595837
pittsburgh,15443,42051,PA,0.0020443563375046464
pittsburgh,15476,42051,PA,0.001796555569322265
pittsburgh,15446,42051,PA,0.0017346053772766695
pittsburgh,15472,42051,PA,0.0015642423491512823
pittsburgh,15465,42051,PA,0.0012080287448891093
pittsburgh,15435,42051,PA,0.0013319291289802999
pittsburgh,15421,42051,PA,0.0011925411968777104
pittsburgh,15430,42051,PA,0.0011925411968777104
pittsburgh,15466,42051,PA,0.0011925411968777104
pittsburgh,15467,42051,PA,0.0010066906207409243
pittsburgh,15420,42051,PA,0.0009447404286953289
pittsburgh,15447,42051,PA,0.0008982777846611325
pittsburgh,15488,42051,PA,0.0008053524965927394
pittsburgh,15492,42051,PA,0.0007279147565357453
pittsburgh,15460,42051,PA,0.0007124272085243464
pittsburgh,15422,42051,PA,0.0006659645644901499
pittsburgh,15449,42051,PA,0.0006504770164787511
pittsburgh,15416,42051,PA,0.0004336513443191674
pittsburgh,15415,42051,PA,0.00027877586420517903
pittsburgh,15454,42051,PA,0.00020133812414818486
pittsburgh,15455,42051,PA,0.00010841283607979184
pittsburgh,15557,42051,PA,4.646264403419651e-05
pittsburgh,15320,42051,PA,1.5487548011398836e-05
pittsburgh,16101,42073,PA,0.38875370419447325
pittsburgh,16105,42073,PA,0.17683764184354447
pittsburgh,16102,42073,PA,0.062423205724335656
pittsburgh,16142,42073,PA,0.03505432818560725
pittsburgh,16116,42073,PA,0.03286192690389573
pittsburgh,16156,42073,PA,0.026308815380538222
pittsburgh,16143,42073,PA,0.025369214831233285
pittsburgh,16112,42073,PA,0.01594911701640687
pittsburgh,16160,42073,PA,0.0062158190184788105
pittsburgh,16159,42073,PA,0.0036138482665574482
pittsburgh,16132,42073,PA,0.002722432360806611
pittsburgh,16155,42073,PA,9.636928710819862e-05
pittsburgh,16140,42073,PA,4.818464355409931e-05
pittsburgh,15301,42125,PA,0.2535490009514748
pittsburgh,15317,42125,PA,0.19843958135109419
pittsburgh,15022,42125,PA,0.05445290199809705
pittsburgh,15367,42125,PA,0.03655566127497621
pittsburgh,15033,42125,PA,0.027716460513796386
pittsburgh,15330,42125,PA,0.02680304471931494
pittsburgh,15342,42125,PA,0.02334919124643197
pittsburgh,15314,42125,PA,0.018648905803996193
pittsburgh,15323,42125,PA,0.01987630827783064
pittsburgh,15419,42125,PA,0.01697431018078021
pittsburgh,15312,42125,PA,0.01549000951474786
pittsburgh,15067,42125,PA,0.01164605137963844
pittsburgh,15360,42125,PA,0.008049476688867746
pittsburgh,15423,42125,PA,0.007982873453853474
pittsburgh,15333,42125,PA,0.007706945765937202
pittsburgh,15376,42125,PA,0.007297811607992389
pittsburgh,15055,42125,PA,0.006536631779257849
pittsburgh,15340,42125,PA,0.00582302568981922
pittsburgh,15345,42125,PA,0.006175071360608944
pittsburgh,15311,42125,PA,0.005632730732635585
pittsburgh,15329,42125,PA,0.00566127497621313
pittsburgh,15427,42125,PA,0.0052426260704091345
pittsburgh,15347,42125,PA,0.0035204567078972408
pittsburgh,15054,42125,PA,0.003444338725023787
pittsburgh,15358,42125,PA,0.0034538534728829687
pittsburgh,15322,42125,PA,0.0032350142721217887
pittsburgh,15331,42125,PA,0.0031779257849666983
pittsburgh,15363,42125,PA,0.003082778306374881
pittsburgh,15377,42125,PA,0.002978116079923882
pittsburgh,15368,42125,PA,0.002331113225499524
pittsburgh,15483,42125,PA,0.0011037107516650808
pittsburgh,15348,42125,PA,0.001769743101807802
pittsburgh,15350,42125,PA,0.0017602283539486204
pittsburgh,15324,42125,PA,0.001455756422454805
pittsburgh,15313,42125,PA,0.0013891531874405329
pittsburgh,15429,42125,PA,0.0012464319695528068
pittsburgh,15434,42125,PA,0.0011798287345385348
pittsburgh,15412,42125,PA,0.0011798287345385348
pittsburgh,15078,42125,PA,0.0010466222645099904
pittsburgh,15432,42125,PA,0.0010846812559467175
pittsburgh,15053,42125,PA,0.0009419600380589914
pittsburgh,15378,42125,PA,0.0006565176022835395
pittsburgh,15361,42125,PA,0.0006470028544243578
pittsburgh,15004,42125,PA,0.000570884871550904
pittsburgh,15366,42125,PA,0.0004852521408182683
pittsburgh,15365,42125,PA,0.0004186489058039962
pittsburgh,15379,42125,PA,0.0002949571836346337
pittsburgh,15370,42125,PA,0.00011417697431018078
pittsburgh,15601,42129,PA,0.16370428758576283
pittsburgh,15650,42129,PA,0.07486622110708972
pittsburgh,15644,42129,PA,0.055987299331660634
pittsburgh,15668,42129,PA,0.03481026711370651
pittsburgh,15658,42129,PA,0.025323622799031907
pittsburgh,15632,42129,PA,0.025784355085818327
pittsburgh,15062,42129,PA,0.025229255945111797
pittsburgh,15627,42129,PA,0.018284965694873104
pittsburgh,15626,42129,PA,0.014893309945156205
pittsburgh,15636,42129,PA,0.010669005484379511
pittsburgh,15697,42129,PA,0.009136931856029486
pittsburgh,15672,42129,PA,0.00927570664120612
pittsburgh,15670,42129,PA,0.009292359615427315
pittsburgh,15679,42129,PA,0.008454159912960455
pittsburgh,15717,42129,PA,0.006672291671292492
pittsburgh,15637,42129,PA,0.005445522570331061
pittsburgh,15639,42129,PA,0.005451073561738126
pittsburgh,15479,42129,PA,0.005356706707818016
pittsburgh,15944,42129,PA,0.00534005373359682
pittsburgh,15665,42129,PA,0.003813531096653862
pittsburgh,15687,42129,PA,0.0036470013544419033
pittsburgh,15923,42129,PA,0.003619246397406577
pittsburgh,15628,42129,PA,0.0031918200590625484
pittsburgh,15954,42129,PA,0.002681128849612541
pittsburgh,15675,42129,PA,0.002497946133179386
pittsburgh,15692,42129,PA,0.002336967382374492
pittsburgh,15688,42129,PA,0.0021648866487554677
pittsburgh,15620,42129,PA,0.0019095410440304638
pittsburgh,15623,42129,PA,0.0021038257432777494
pittsburgh,15698,42129,PA,0.0018540311299598108
pittsburgh,15671,42129,PA,0.0017763172502608966
pittsburgh,15611,42129,PA,0.0017152563447831782
pittsburgh,15629,42129,PA,0.0016763994049337212
pittsburgh,15661,42129,PA,0.0013544419033239337
pittsburgh,15634,42129,PA,0.0015542775939782845
pittsburgh,15676,42129,PA,0.0015487266025712193
pittsburgh,15677,42129,PA,0.0014765637142793702
pittsburgh,15678,42129,PA,0.0012822790150320848
pittsburgh,15655,42129,PA,0.0013377889291027378
pittsburgh,15641,42129,PA,0.0012600750494038235
pittsburgh,15684,42129,PA,0.0012045651353331706
pittsburgh,15624,42129,PA,0.001104647290005995
pittsburgh,15612,42129,PA,0.0008659546595021871
pittsburgh,15640,42129,PA,0.0008048937540244687
pittsburgh,15696,42129,PA,0.0008048937540244687
pittsburgh,15647,42129,PA,0.0007493838399538158
pittsburgh,15695,42129,PA,0.0007660368141750117
pittsburgh,15660,42129,PA,0.0007216288829184893
pittsburgh,15615,42129,PA,0.0007382818571396851
pittsburgh,15635,42129,PA,0.0006827719430690321
pittsburgh,15619,42129,PA,0.0006772209516619669
pittsburgh,15633,42129,PA,0.0006550169860337057
pittsburgh,15646,42129,PA,0.000516242200857073
pittsburgh,15638,42129,PA,0.0005939560805559873
pittsburgh,15087,42129,PA,0.0005662011235206608
pittsburgh,15662,42129,PA,0.0005051402180429425
pittsburgh,15693,42129,PA,0.00043297732975109354
pittsburgh,15691,42129,PA,0.00037191642427337524
pittsburgh,15685,42129,PA,0.00034971245864511404
pittsburgh,15680,42129,PA,0.00033861047583098343
pittsburgh,15448,42129,PA,0.00033861047583098343
pittsburgh,15501,42129,PA,0.0003108555187956569
pittsburgh,15072,42129,PA,0.0003164065102027222
pittsburgh,15625,42129,PA,0.0002997535359815263
pittsburgh,15616,42129,PA,0.0002608965961320692
pittsburgh,15779,42129,PA,0.0002442436219108733
pittsburgh,15674,42129,PA,3.330594844239181e-05
pittsburgh,15663,42129,PA,2.775495703532651e-05
pittsburgh,15531,42129,PA,2.2203965628261207e-05
pittsburgh,15617,42129,PA,1.6652974221195905e-05
philadelphia,19020,42017,PA,0.09038556599110233
philadelphia,19067,42017,PA,0.08204222865616835
philadelphia,18974,42017,PA,0.06784478497281266
philadelphia,18966,42017,PA,0.0579973165736883
philadelphia,18901,42017,PA,0.05343902266789068
philadelphia,18951,42017,PA,0.05529270531742109
philadelphia,19047,42017,PA,0.05347433090883412
philadelphia,18940,42017,PA,0.04726008050278935
philadelphia,19053,42017,PA,0.039990113692535835
philadelphia,19007,42017,PA,0.036205070263399475
philadelphia,18944,42017,PA,0.03801285219970341
philadelphia,18976,42017,PA,0.03369112350822682
philadelphia,18914,42017,PA,0.030862933408657582
philadelphia,18902,42017,PA,0.027971188475390155
philadelphia,18938,42017,PA,0.024895840689216863
philadelphia,19057,42017,PA,0.022388955582232892
philadelphia,19054,42017,PA,0.023617682367064474
philadelphia,18960,42017,PA,0.020259868653343692
philadelphia,19030,42017,PA,0.018833415719228867
philadelphia,19056,42017,PA,0.02042581738577784
philadelphia,19055,42017,PA,0.01803544947390721
philadelphia,19021,42017,PA,0.01437751571216722
philadelphia,18954,42017,PA,0.013650165948732433
philadelphia,18929,42017,PA,0.01230139114469317
philadelphia,18947,42017,PA,0.009586187416142927
philadelphia,18969,42091,PA,0.011672175358909888
