msa,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url
philadelphia,B & W TEK INC,b w tek,grant_only_company,startup,unknown,NEWARK,DE,19713-3448,False,True,True,False,0.0,13.0,4793510.0,2.0,524757.0,,,,,,M5VMM6KRMUG3,964792485,https://www.bwtekmed.com/,14,2006,2021,,
philadelphia,"B-TECH CONSULTING, LTD",b tech consulting,grant_only_company,startup,services,PHILADELPHIA,PA,19130-3134,False,True,True,False,0.0,2.0,1526962.0,1.0,675509.0,,,,,,,829197198,,0,2011,2014,,
philadelphia,BALLYDEL TECHNOLOGIES INC.,ballydel technologies,grant_only_company,startup,unknown,WILMINGTON,DE,19803,False,True,False,False,0.0,12.0,6317560.93,0.0,0.0,,,,,,CRMFHVMCD5V6,117128340,https://www.ballydel.com,11,2021,2025,,
philadelphia,BASIC COMMERCE & INDUSTRIES INC,basic commerce industries,grant_only_company,startup,unknown,MOORESTOWN,NJ,08057-3229,False,True,False,False,0.0,12.0,5414312.99,0.0,0.0,,,,,,ZJUJKFLSNBV9,101699874,http://www.bcisse.com,189,1996,2020,,
philadelphia,BAYESIAN HEALTH LLC,bayesian health,grant_only_company,startup,unknown,WILMINGTON,DE,19801-3098,False,True,False,False,0.0,1.0,225000.0,0.0,0.0,,,,,,SXFMXKHS75A3,080300426,,1,2018,2018,,
philadelphia,BELLEROPHON MOBILE LLC,bellerophon mobile,grant_only_company,startup,unknown,PHILADELPHIA,PA,19128-2802,False,True,False,False,0.0,1.0,59904.0,0.0,0.0,,,,,,HN51V5LUP1R3,078722938,http://bellerophonmobile.com,3,2017,2017,,
philadelphia,"BERGER INSTRUMENTS, INC.",berger instruments,grant_only_company,startup,unknown,NEWARK,DE,19713,False,True,False,False,0.0,0.0,100000.0,0.0,0.0,,,,,,,,,,2000,2000,,
philadelphia,"BIOADVANCES, LLC",bioadvances,grant_only_company,startup,unknown,PHILADELPHIA,PA,19104,False,True,False,False,0.0,0.0,112586.0,0.0,0.0,,,,,,,,,,1999,1999,,
philadelphia,"BIOASSESSMENTS, LLC",bioassessments,grant_only_company,startup,unknown,ELKTON,MD,21921,False,True,False,False,0.0,3.0,1149656.0,0.0,0.0,,,,,,,,,,2003,2006,,
philadelphia,"BIODELIVERY SCIENCES INTERNATIONAL, INC.",biodelivery sciences international,grant_only_company,startup,biotech,NEWARK,NJ,07103,False,True,False,False,0.0,1.0,1685804.0,0.0,0.0,,,,,,,,,,1999,2002,,
philadelphia,"BIOFLO SYSTEMS, INC.",bioflo systems,grant_only_company,startup,unknown,PHILADELPHIA,PA,19104,False,True,False,False,0.0,0.0,97370.0,0.0,0.0,,,,,,,,,,2000,2000,,
philadelphia,"BIONANOMATRIX, INC.",bionanomatrix,grant_only_company,startup,unknown,PHILADELPHIA,PA,-,False,True,False,False,0.0,5.0,2977280.0,0.0,0.0,,,,,,KZ2NHNP623C1,145913666,,,2006,2009,,
philadelphia,BIONIX DEVELOPMENT CORPORATION,bionix development,grant_only_company,startup,unknown,PAOLI,PA,19301,False,True,False,False,0.0,2.0,899519.0,0.0,0.0,,,,,,,,,,2003,2006,,
philadelphia,BIOREXIS PHARMACEUTICAL CORPORATION,biorexis pharmaceutical,grant_only_company,startup,pharma,KING OF PRUSSIA,PA,19406 0267,False,True,False,False,0.0,1.0,973995.0,0.0,0.0,,,,,,,,,,2004,2004,,
philadelphia,"BIOSYN, INC.",biosyn,grant_only_company,startup,unknown,HUNTINGDON VALLEY,PA,19006,False,True,False,False,0.0,3.0,1184995.0,0.0,0.0,,,,,,,,,,2002,2004,,
philadelphia,BLACKFYNN INC.,blackfynn,grant_only_company,startup,unknown,PHILADELPHIA,PA,19107-4533,False,True,True,False,0.0,2.0,2849448.0,6.0,10232213.0,,,,,,CJNYDRHT8VM5,079773444,,8,2017,2017,,
philadelphia,BOUND THERAPEUTICS LLC,bound therapeutics,grant_only_company,startup,pharma,CHERRY HILL,NJ,08003-1997,False,True,True,False,0.0,1.0,299774.0,1.0,299774.0,,,,,,ZQ9HDR5N4HL7,079892540,www.BoundTherapeutics.com,3,2019,2019,,
philadelphia,"BOX ROBOTICS, INC.",box robotics,grant_only_company,startup,medtech,PHILADELPHIA,PA,19146,False,True,False,False,0.0,1.0,255730.0,0.0,0.0,,,,,,ZFD2DNSST793,117248172,,2,2020,2020,,
philadelphia,BRANDYWINE PHOTONICS LLC,brandywine photonics,grant_only_company,startup,unknown,WEST CHESTER,PA,19380-3400,False,True,False,False,0.0,9.0,8541531.23,0.0,0.0,,,,,,E43JPAY7M493,962357575,http://www.brandywinephotonics.com,9,2017,2024,,
philadelphia,BRIACELL THERAPEUTICS CORP,briacell therapeutics,grant_only_company,startup,pharma,PHILADELPHIA,PA,19104-7327,False,True,True,False,0.0,2.0,1506699.0,2.0,1506699.0,,,,,,S4APLQN63FL6,,,12,2023,2025,,
philadelphia,Babson Research Laboratories,babson research laboratories,grant_only_company,startup,unknown,Chester,NJ,07930,False,True,False,False,0.0,0.0,45000.0,0.0,0.0,,,,,,,,,,1986,1986,,
philadelphia,Bethune-cookman Dev Corp,bethune cookman dev,grant_only_company,startup,unknown,Wilmington,DE,19805,False,True,False,False,0.0,0.0,50000.0,0.0,0.0,,,,,,,,,,1989,1989,,
philadelphia,Bio Diagnostics Ltd,bio diagnostics,grant_only_company,startup,diagnostics,Philadelphia,PA,19104,False,True,False,False,0.0,0.0,50000.0,0.0,0.0,,,,,,,,,,1988,1988,,
philadelphia,"BioSignal Analytics, Inc",biosignal analytics,grant_only_company,startup,unknown,Philadelphia,PA,19104-5532,False,True,False,False,0.0,1.0,223897.0,0.0,0.0,,,,,,,079939241,,2,2016,2016,,
philadelphia,"BioStream Technologies, LLC",biostream technologies,grant_only_company,startup,unknown,Wilmington,DE,19801-1242,False,True,False,False,0.0,1.0,225000.0,0.0,0.0,,,,,,,079920959,http://www.biostreamtech.com,5,2018,2018,,
philadelphia,Bioautomation Associates,bioautomation associates,grant_only_company,startup,unknown,Villanova,PA,19085,False,True,False,False,0.0,0.0,549741.0,0.0,0.0,,,,,,,,,,1988,1989,,
philadelphia,Biochem Technology Inc.,biochem technology,grant_only_company,startup,unknown,Malvern,PA,19355,False,True,False,False,0.0,0.0,1094552.0,0.0,0.0,,,,,,,,,,1983,1990,,
philadelphia,Biomol Research Laboratoryt,biomol research laboratoryt,grant_only_company,startup,unknown,Plymouth Meeting,PA,19462,False,True,False,False,0.0,0.0,299834.0,0.0,0.0,,,,,,,,,,1986,1993,,
philadelphia,Biotechnologies Inc,biotechnologies,grant_only_company,startup,biotech,Bryn Mawr,PA,19010,False,True,False,False,0.0,0.0,50000.0,0.0,0.0,,,,,,,,,,1987,1987,,
philadelphia,Bismarck Inc,bismarck,grant_only_company,startup,unknown,King Of Prussia,PA,19406,False,True,False,False,0.0,0.0,39187.0,0.0,0.0,,,,,,,,,5,1986,1986,,
philadelphia,Bl Associates,bl associates,grant_only_company,startup,unknown,Cherry Hill,NJ,08003,False,True,False,False,0.0,0.0,50000.0,0.0,0.0,,,,,,,,,2,1990,1990,,
philadelphia,Blue Lightning Data And,blue lightning data and,grant_only_company,startup,unknown,Paoli,PA,19301,False,True,False,False,0.0,0.0,100000.0,0.0,0.0,,,,,,,,,,1993,1993,,
philadelphia,"Blue Rock Solutions, Inc.",blue rock solutions,grant_only_company,startup,unknown,Williamstown,NJ,08094-3761,False,True,False,False,0.0,1.0,200000.0,0.0,0.0,,,,,,,029293185,,2,2021,2021,,
philadelphia,"Bostan Research, Inc.",bostan research,grant_only_company,startup,unknown,Media,PA,19063,False,True,False,False,0.0,0.0,779159.0,0.0,0.0,,,,,,,,,1,1993,1995,,
philadelphia,BrachyThermix LLC,brachythermix,grant_only_company,startup,unknown,VOORHEES,NJ,08043-2962,False,True,False,False,0.0,1.0,300000.0,0.0,0.0,,,,,,,081326202,http://www.brachythermix.com,3,2020,2020,,
philadelphia,Braidtech Inc.,braidtech,grant_only_company,startup,unknown,Malvern,PA,19355,False,True,False,False,0.0,0.0,549454.0,0.0,0.0,,,,,,,,,4,1988,1989,,
philadelphia,Brehn Corp,brehn,grant_only_company,startup,unknown,Mount Holly,NJ,08060,False,True,False,False,0.0,0.0,49844.0,0.0,0.0,,,,,,,,,2,1990,1990,,
philadelphia,"C4 IMAGING, LLC",c4 imaging,grant_only_company,startup,medtech,DOYLESTOWN,PA,18901-4040,False,True,True,False,0.0,2.0,1470078.0,2.0,1314320.0,,,,,,N4KHG3RX3JX8,003065466,,3,2010,2015,,
philadelphia,CA-TX INC,ca tx,grant_only_company,startup,unknown,GLADWYNE,PA,19035-1536,False,True,False,False,0.0,1.0,841364.0,0.0,0.0,,,,,,STH7WEL1L7K3,086618183,http://www.catxinc.org,3,2001,2006,,
philadelphia,CAPSULOMICS INC,capsulomics,grant_only_company,startup,unknown,WILMINGTON,DE,19801-1120,False,True,False,False,0.0,4.0,3411742.0,0.0,0.0,,,,,,JHFSNCGGJNQ3,116914502,,4,2020,2024,,
philadelphia,CECILIA ENERGY INC.,cecilia energy,grant_only_company,startup,unknown,NEWARK,NJ,07103-3568,False,True,False,False,0.0,2.0,1056487.0,0.0,0.0,,,,,,M2MBR7W67KZ8,118501637,https://www.ceciliaenergy.com,4,2023,2023,,
philadelphia,CELESTRON TECHNOLOGIES LLC,celestron technologies,grant_only_company,startup,unknown,MOORESTOWN,NJ,08057-1370,False,True,False,False,0.0,1.0,34347.0,0.0,0.0,,,,,,QBE8TJ2QM8Q3,117688047,https://www.celestrontechnologies.com/,118,2021,2021,,
philadelphia,CELL PODIUM LLC,cell podium,grant_only_company,startup,biotech,NEWARK,NJ,07103-3568,False,True,True,False,0.0,9.0,3399317.0,10.0,2150684.0,,,,,,FYLXJRFAL2N7,831353029,,,2010,2025,,
philadelphia,CELLERGY PHARMA,cellergy pharma,grant_only_company,startup,pharma,WILMINGTON,DE,19803-2907,False,True,True,False,0.0,2.0,600000.0,2.0,600000.0,,,,,,LXM4AFNZRND1,,,1,2024,2025,,
philadelphia,"CEMENT CHEMISTRY SYSTEMS, LP",cement chemistry systems lp,grant_only_company,startup,chemistry,MALVERN,PA,19355,False,True,False,False,0.0,2.0,800705.0,0.0,0.0,,,,,,,142780340,,11,2005,2006,,
philadelphia,"CHAPERONE TECHNOLOGIES, INC.",chaperone technologies,grant_only_company,startup,unknown,WAYNE,PA,19087,False,True,False,False,0.0,3.0,302000.0,0.0,0.0,,,,,,,,,,2003,2004,,
philadelphia,CHERRYSTONE CORPORATION,cherrystone,grant_only_company,startup,unknown,Wayne,PA,19399,False,True,False,False,0.0,0.0,220000.0,0.0,0.0,,,,,,,,,,1993,1998,,
philadelphia,"CHI SYSTEMS, INC",chi systems,grant_only_company,startup,unknown,Wynnewood,PA,19096-2411,False,True,False,False,0.0,118.0,55316851.4,0.0,0.0,,,,,,FSS6NMQ4HKL5,161162995,https://www.chisystems.com,5,1986,2024,,
philadelphia,CHROMATAN INC,chromatan,grant_only_company,startup,unknown,AMBLER,PA,19002-1231,False,True,False,False,0.0,6.0,7837452.0,0.0,0.0,,,,,,K2YANNA7WH31,832772292,,20,2011,2024,,
philadelphia,CIMENTUM,cimentum,grant_only_company,startup,unknown,NEWARK,DE,19711-2497,False,True,False,False,0.0,1.0,150000.0,0.0,0.0,,,,,,NVFDZBBP5AF6,830299942,www.cimentum.com,1,2015,2015,,
philadelphia,CLEU DIAGNOSTICS LLC,cleu diagnostics,grant_only_company,startup,diagnostics,PHILADELPHIA,PA,19107-5123,False,True,True,False,0.0,2.0,1695680.0,3.0,1695680.0,,,,,,XXWEFGFRTJ84,081083539,,5,2019,2022,,
philadelphia,"CM-Tec, Inc.",cm tec,grant_only_company,startup,unknown,Newark,DE,19711,False,True,False,False,0.0,10.0,1694143.0,0.0,0.0,,,,,,,,,,2003,2006,,
philadelphia,"COGNISPHERE, INC.",cognisphere,grant_only_company,startup,unknown,West Chester,PA,19380,False,True,False,False,0.0,1.0,69977.0,0.0,0.0,,,,,,,025359386,,2,2004,2004,,
philadelphia,"COGNIZANCE BIOMARKERS, LLC",cognizance biomarkers,grant_only_company,startup,diagnostics,PHILADELPHIA,PA,19104-2853,False,True,True,False,0.0,2.0,915358.0,1.0,225000.0,,,,,,,968476957,www.cognizancebiomarkers.weebly.com,2,2013,2015,,
philadelphia,COMBUSTION RESEARCH & FLOW TECHNOLOGY INC,combustion research flow technology,grant_only_company,startup,unknown,PIPERSVILLE,PA,18947-1020,False,True,False,False,0.0,283.0,123851113.51,0.0,0.0,,,,,,XGYZK5MHNJZ8,929950012,http://www.craft-tech.com,25,1995,2025,,
philadelphia,COMFORT CONSULTS,comfort consults,grant_only_company,startup,unknown,CHEYNEY,PA,19319,False,True,False,False,0.0,2.0,922907.0,0.0,0.0,,,,,,,,,,2005,2006,,
philadelphia,"COMPACT MEMBRANE SYSTEMS, INC.",compact membrane systems,grant_only_company,startup,unknown,WILMINGTON,DE,19804-2410,False,True,False,False,0.0,158.0,60624766.0,0.0,0.0,,,,,,JDNRH32DML47,808898894,http://www.compactmembrane.com,22,1993,2021,,
philadelphia,COMPOSITES AUTOMATION LLC,composites automation,grant_only_company,startup,unknown,NEWARK,DE,19702-2068,False,True,False,False,0.0,19.0,7371573.82,0.0,0.0,,,,,,PG9QN7GBQJ49,848699810,https://www.compositesautomationllc.com,11,2015,2025,,
philadelphia,COMPUTER COMMAND & CONTROL CO.,computer command control,grant_only_company,startup,unknown,Philadelphia,PA,19103,False,True,False,False,0.0,1.0,2098703.0,0.0,0.0,,,,,,,,,,1987,1999,,
philadelphia,"COMPUTER INTERFACE INSTRUMENTATION, INC.",computer interface instrumentation,grant_only_company,startup,unknown,Furlong,PA,18925,False,True,False,False,0.0,2.0,507368.0,0.0,0.0,,,,,,,956118665,,1,2005,2007,,
philadelphia,CONARD-PYLE CO. THE,conard pyle,grant_only_company,startup,unknown,West Grove,PA,19390-0000,False,True,False,False,0.0,1.0,99999.0,0.0,0.0,,,,,,,008939910,,50,2015,2015,,
philadelphia,CONIFER POINT PHARMACEUTICALS LLC,conifer point pharmaceuticals,grant_only_company,startup,pharma,DOYLESTOWN,PA,18902-8400,False,True,True,False,0.0,5.0,5808280.0,10.0,5808280.0,,,,,,RFUJM8H9JSU4,079706080,http://www.coniferpoint.com/,11,2016,2025,,
philadelphia,"CONTOX, LTD",contox,grant_only_company,startup,unknown,FORT WASHINGTON,PA,19034,False,True,False,False,0.0,0.0,84942.0,0.0,0.0,,,,,,,,,,2000,2000,,
philadelphia,"CORE TECH SOLUTIONS, INC.",core tech solutions,grant_only_company,startup,unknown,MOUNT LAUREL,NJ,08054,False,True,False,False,0.0,0.0,159800.0,0.0,0.0,,,,,,,,,,2000,2000,,
philadelphia,"CREATIVE ENERGY SOLUTIONS, INC.",creative energy solutions,grant_only_company,startup,unknown,Wilmington,DE,19808,False,True,False,False,0.0,2.0,139979.0,0.0,0.0,,,,,,,614859259,,3,2007,2009,,
