msa,name,name_norm,tier,city,state,zip,source_form_d,source_sbir,source_nih,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,entity_type,industry,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year
philadelphia,Pyromet Inc.,pyromet,confirmed_grant,Aston,PA,19014,False,True,False,0.0,0.0,406835.0,0.0,0.0,,,,,,,,,1987,1988
philadelphia,QUADPHARMA INC.,quadpharma,confirmed_grant,CHERRY HILL,NJ,08034,False,True,False,0.0,0.0,300000.0,0.0,0.0,,,,,,,,,2000,2000
philadelphia,"QUANTUM LEAP INNOVATIONS, INC.",quantum leap innovations,confirmed_grant,Newark,DE,-,False,True,False,0.0,9.0,2928434.0,0.0,0.0,,,,,P6SXKRJLFJS4,077990047,,35,2000,2013
philadelphia,"QrumPharma, Inc.",qrumpharma,confirmed_grant,Doylestown,PA,18901-3503,False,True,False,0.0,1.0,520306.0,0.0,0.0,,,,,FPJ4ZV3NXKJ9,079851680,www.qrumpharma.com,5,2018,2018
philadelphia,Quantitative Radiology Solutions LLC,quantitative radiology solutions,confirmed_grant,Philadelphia,PA,19104,False,True,True,0.0,4.0,2664943.0,3.0,257131.0,,,,,TLMLBB8Y4SA3,079089213,,1,2016,2020
philadelphia,"Quercus Molecular Design, LLC",quercus molecular design,confirmed_grant,Wilmington,DE,19801-1120,False,True,False,0.0,5.0,2106665.0,0.0,0.0,,,,,ZHH5N3KV48A5,080447260,,3,2017,2023
philadelphia,"R&D Green Materials, LLC",r d green materials,confirmed_grant,Philadelphia,PA,19104-5505,False,True,False,0.0,2.0,600000.0,0.0,0.0,,,,,,171375939,,1,2008,2009
philadelphia,RAFIAS LLC,rafias,confirmed_grant,PHILADELPHIA,PA,19146-2701,False,True,True,0.0,1.0,405230.0,1.0,405230.0,,,,,K2VXLZRME3H8,118216874,,2,2025,2025
philadelphia,RASHI TECHNOLOGIES CORP.,rashi technologies,confirmed_grant,WILMINGTON,DE,19808-1674,False,True,False,0.0,1.0,149996.0,0.0,0.0,,,,,VG1HRZJQ4QJ7,,https://rashi.ai,2,2025,2025
philadelphia,RATIONAL AFFINITY DEVICES,rational affinity devices,confirmed_grant,NEWARK,NJ,07103-3567,False,True,False,0.0,2.0,867192.0,0.0,0.0,,,,,,148069888,,,2006,2008
philadelphia,"RAZOR ERP, LLC",razor erp,confirmed_grant,HUNTINGDON VALLEY,PA,19006-7773,False,True,False,0.0,1.0,74714.0,0.0,0.0,,,,,CMNPUSD56XJ1,104848471,https://www.razorerp.com/,5,2023,2023
philadelphia,RDA INC.,rda,confirmed_grant,DOYLESTOWN,PA,18901-3755,False,True,False,0.0,44.0,25269910.0,0.0,0.0,,,,,MCW6XX5ENZP5,179041470,https://www.rdainc.com,65,1995,2025
philadelphia,REACTION BIOLOGY CORPORATION,reaction biology,confirmed_grant,MALVERN,PA,19355-1423,False,True,False,0.0,17.0,9663550.0,0.0,0.0,,,,,LDBCLKM4WJH1,611741799,,,2002,2017
philadelphia,REACTIVE METALS INTERNATIONAL INC,reactive metals international,confirmed_grant,KING OF PRUSSIA,PA,19406-2644,False,True,False,0.0,7.0,4511293.0,0.0,0.0,,,,,CQ7SLZ8SEVB1,054216691,,6,2012,2021
philadelphia,REAL-TIME TOMOGRAPHY,real time tomography,confirmed_grant,VILLANOVA,PA,19085-1801,False,True,False,0.0,2.0,849997.0,0.0,0.0,,,,,L56LKMJTD9S4,623278210,,,2007,2008
philadelphia,RECOMBINATION THERAPEUTICS LLC,recombination therapeutics,confirmed_grant,PHILADELPHIA,PA,19147-3456,False,True,True,0.0,3.0,1084616.0,4.0,1383575.0,,,,,JLYJMA2WFYE3,081310623,http://www.recombinationtx.com,2,2020,2021
philadelphia,RED TAIL HAWK CORP,red tail hawk,confirmed_grant,PHILADELPHIA,PA,19107-5875,False,True,False,0.0,13.0,6529631.0,0.0,0.0,,,,,DTJZJ6NAU2M4,021593632,,1,2000,2018
philadelphia,"RENIGUARD LIFE SCIENCES, INC.",reniguard life sciences,confirmed_grant,Malvern,PA,19355-,False,True,False,0.0,1.0,300000.0,0.0,0.0,,,,,,826937398,,0,2011,2011
philadelphia,RESTLESS CREATION LLC,restless creation,confirmed_grant,CHESTER,NJ,07930-2528,False,True,False,0.0,1.0,999750.0,0.0,0.0,,,,,YXLVJRBBCML1,050736044,http://www.restlesscreation.com,2,2021,2021
