msa,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url
atlanta,Astleford Inc.,astleford,grant_only_company,startup,unknown,Stone Mountain,GA,30087,False,True,False,False,0.0,0.0,45775.0,0.0,0.0,,,,,,,,,,1993,1993,,
atlanta,"Atheraxon, Inc.",atheraxon,grant_only_company,startup,unknown,Atlanta,GA,30340-4612,False,True,False,False,0.0,2.0,1224996.0,0.0,0.0,,,,,,D2TPU8AQJ6Y5,081243877,,3,2019,2020,,
atlanta,Atlan-tech Inc,atlan tech,grant_only_company,startup,unknown,Roswell,GA,30076,False,True,False,False,0.0,0.0,596266.0,0.0,0.0,,,,,,,,,6,1983,1986,,
atlanta,Atlanta Signal Processors Inc.,atlanta signal processors,grant_only_company,startup,unknown,Atlanta,GA,30308,False,True,False,False,0.0,0.0,348912.0,0.0,0.0,,,,,,,,,,1993,1995,,
atlanta,"Atomic-6, Inc.",atomic 6,grant_only_company,startup,unknown,MARIETTA,GA,30067-9218,False,True,False,False,0.0,13.0,7852729.0,0.0,0.0,,,,,,KD21DRRKP1W3,117258896,https://www.atomic-6.com/,13,2021,2024,,
atlanta,Autodesk Inc.,autodesk,grant_only_company,startup,unknown,Atlanta,GA,30338,False,True,False,False,0.0,0.0,525000.0,0.0,0.0,,,,,,,,,,1986,1988,,
atlanta,Automation Concepts & Sys Inc,automation concepts sys,grant_only_company,startup,unknown,Smyrna,GA,30080,False,True,False,False,0.0,0.0,49995.0,0.0,0.0,,,,,,,,,,1991,1991,,
atlanta,"Azomai Systems, Inc.",azomai systems,grant_only_company,startup,unknown,Atlanta,GA,30307,False,True,False,False,0.0,1.0,100000.0,0.0,0.0,,,,,,,,,3,2004,2004,,
atlanta,BEHAVIORAL SCIENCE TECHNOLOGIES LLC,behavioral science technologies,grant_only_company,startup,unknown,ATLANTA,GA,30306-2608,False,True,False,False,0.0,2.0,1142789.0,0.0,0.0,,,,,,NTF9Z3Y1SQQ1,079151186,,2,2016,2017,,
atlanta,"BINERGY SCIENTIFIC, INC.",binergy scientific,grant_only_company,startup,unknown,ATLANTA,GA,30342-3843,False,True,False,False,0.0,13.0,10843075.0,0.0,0.0,,,,,,KLK5ZWJKYH73,078282228,http://www.binergyscientific.com,12,2014,2024,,
