msa,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url,priority_score,founded_year
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Boston Biopharma, Inc.",boston biopharma,operating_company,startup,pharma,ROSWELL,GA,30075,Pharmaceuticals,,,1857036.0,,,,,,,,,5,
atlanta,True,True,True,False,1.0,2.0,554056.0,1.0,298099.0,"CHS Healthcare Ventures, Inc.",chs healthcare ventures,operating_company,startup,medtech,DECATUR,GA,30030,Other Health Care,,,1811460.0,LL15RDS34HE7,117243088,http://www.lightengalehealth.com,2.0,2020.0,2021.0,,,5,2016.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Celtaxsys, Inc.",celtaxsys,operating_company,startup,biotech,ATLANTA,GA,30363,Biotechnology,,,1334381.0,,,,,,,,,5,2005.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"INSIGHT OPTICS, INC.",insight optics,operating_company,startup,biotech,ATLANTA,GA,30318,Biotechnology,,,1924150.0,,,,,,,,,5,
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,MARIZYME INC,marizyme,operating_company,startup,biotech,WOODSTOCK,GA,30189,Biotechnology,,,1413754.0,,,,,,,,,5,2007.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,Nutrivert Inc.,nutrivert,operating_company,startup,pharma,ATLANTA,GA,30305,Pharmaceuticals,,,1970591.0,,,,,,,,,5,
atlanta,True,False,False,False,5.0,0.0,0.0,0.0,0.0,Q CARE INTERNATIONAL LLC,q care international,operating_company,startup,biotech,MARIETTA,GA,30067,Other Health Care,,,1034485.0,,,,,,,,,5,
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,Rion LLC,rion,operating_company,startup,biotech,CUMMING,GA,30041,Biotechnology,,,1707577.0,,,,,,,,,5,2014.0
atlanta,True,False,True,False,1.0,0.0,0.0,6.0,3076634.0,"SignalRX Pharmaceuticals, Inc",signalrx pharmaceuticals,operating_company,startup,pharma,CUMMING,GA,30041,Pharmaceuticals,,,1974464.0,,,,,,,,,5,
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,Stimlabs LLC,stimlabs,operating_company,startup,biotech,ROSWELL,GA,30076,Biotechnology,,,1900728.0,,,,,,,,,5,2015.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,UCB S.A.,ucb s a,operating_company,startup,pharma,SMYRNA,GA,30080,Pharmaceuticals,,,1290640.0,,,,,,,,,5,
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,Vero Biotech Inc.,vero biotech,operating_company,startup,pharma,ATLANTA,GA,30313,Pharmaceuticals,,,1359620.0,,,,,,,,,5,2006.0
atlanta,False,True,False,False,0.0,1.0,99954.0,0.0,0.0,LOCATORX INC,locatorx,grant_only_company,startup,pharma,ATLANTA,GA,30338-5469,Pharmaceuticals,,,,UMB2HKZMN5H6,080152175,https://www.locatorx.com,14.0,2023.0,2023.0,,,4,
atlanta,False,True,True,False,0.0,3.0,2331145.0,6.0,3265583.0,MIGRA-THERAPEUTICS LLC,migra therapeutics,grant_only_company,startup,pharma,ATLANTA,GA,30303-2921,Pharmaceuticals,,,,NCN6HK3N2SG3,116671473,,2.0,2019.0,2022.0,,,4,
atlanta,False,True,False,False,0.0,4.0,1936677.0,0.0,0.0,"Microbial Medical, Inc.",microbial medical,grant_only_company,startup,biotech,Lithia Springs,GA,30122-1546,Biotechnology,,,,S2BNW6NL62E7,079111976,,2.0,2015.0,2022.0,,,4,
atlanta,False,True,False,False,0.0,1.0,275000.0,0.0,0.0,Polymer Solutions Inc,polymer solutions,grant_only_company,startup,chemistry,Atlanta,GA,30339-2088,Other Health Care,,,,G3K5WDDBAX81,130210066,https://polymersol.com,3.0,2023.0,2023.0,,,4,
atlanta,False,True,False,False,0.0,4.0,8159922.0,0.0,0.0,ProDa BioTech L.L.C.,proda biotech l l c,grant_only_company,startup,biotech,Marietta,GA,30068-1641,Biotechnology,,,,KMRLL3EPWVK5,078411585,,2.0,2017.0,2022.0,,,4,
atlanta,False,True,True,False,0.0,1.0,579425.0,2.0,579425.0,RAZI PHARMA LLC,razi pharma,grant_only_company,startup,pharma,ATLANTA,GA,30307-1110,Pharmaceuticals,,,,EL1BYG75FMC5,117560522,,1.0,2022.0,2022.0,,,4,
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"ATLANTA DETOX GROUP, LLC",atlanta detox,operating_company,startup,medtech,RIVERDALE,GA,30274,Other Health Care,,,2069614.0,,,,,,,,,4,2022.0
atlanta,True,False,False,False,9.0,0.0,0.0,0.0,0.0,"AperiSys, Inc.",aperisys,operating_company,startup,medtech,CUMMING,GA,30041,Other Health Care,,,1658374.0,,,,,,,,,4,2015.0
atlanta,True,False,False,False,2.0,0.0,0.0,0.0,0.0,"Apollo Med Innovations, Inc.",apollo med innovations,operating_company,startup,medtech,PEACHTREE CITY,GA,30269,Other Health Care,,,1747838.0,,,,,,,,,4,2019.0
atlanta,True,False,False,False,3.0,0.0,0.0,0.0,0.0,"Arthroba, Inc.",arthroba,operating_company,startup,medtech,SMYRNA,GA,30080,Other Health Care,,,1972133.0,,,,,,,,,4,2021.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Association Health Plans of America, LLC",association health plans of america,operating_company,startup,medtech,ATLANTA,GA,30326,Other Health Care,,,1753221.0,,,,,,,,,4,2018.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,BBM Health LLC,bbm health,operating_company,startup,medtech,Atlanta,GA,30309,Other Health Care,,,1785807.0,,,,,,,,,4,2016.0
atlanta,True,False,False,False,3.0,0.0,0.0,0.0,0.0,"Basis Medical, LLC",basis medical,operating_company,startup,medtech,Atlanta,GA,30307,Other Health Care,,,1738555.0,,,,,,,,,4,2017.0
